DGK	FamilyOrComplex
DNA_polymerase_delta	FamilyOrComplex
DNM	FamilyOrComplex
DRD	FamilyOrComplex
DUSP	FamilyOrComplex
DVL	FamilyOrComplex
DYRK	FamilyOrComplex
E2F	FamilyOrComplex
E3_Ub_ligase	FamilyOrComplex
EDN	FamilyOrComplex
EFN	FamilyOrComplex
EGFR_ligand	FamilyOrComplex
EGR	FamilyOrComplex
EIF2B	FamilyOrComplex
EIF4	FamilyOrComplex
EIF4A	FamilyOrComplex
EIF4E	FamilyOrComplex
EIF4EBP	FamilyOrComplex
EIF4G	FamilyOrComplex
ELA	FamilyOrComplex
ENO	FamilyOrComplex
Eotaxin	FamilyOrComplex
EPHA	FamilyOrComplex
EPHB	FamilyOrComplex
Ephrin_receptor	FamilyOrComplex
EPN	FamilyOrComplex
ERBB	FamilyOrComplex
ERK	FamilyOrComplex
ESR	FamilyOrComplex
ETC_complex_I	FamilyOrComplex
ETC_complex_I_core	FamilyOrComplex
ETC_complex_II	FamilyOrComplex
ETC_complex_III	FamilyOrComplex
ETC_complex_I_supernumerary	FamilyOrComplex
ETC_complex_IV	FamilyOrComplex
ETC_complex_V	FamilyOrComplex
ETNK	FamilyOrComplex
ETS	FamilyOrComplex
EXOC	FamilyOrComplex
EXT	FamilyOrComplex
F_actin	FamilyOrComplex
FANC	FamilyOrComplex
FGF	FamilyOrComplex
FGFR	FamilyOrComplex
Fibrin	FamilyOrComplex
Fibrinogen	FamilyOrComplex
FLOT	FamilyOrComplex
FLRT	FamilyOrComplex
FNT	FamilyOrComplex
FOS_family	FamilyOrComplex
FOXO	FamilyOrComplex
FPR	FamilyOrComplex
FSH	FamilyOrComplex
FUT	FamilyOrComplex
FZD	FamilyOrComplex
G_12	FamilyOrComplex
G_12_alpha	FamilyOrComplex
GABR	FamilyOrComplex
GALNT	FamilyOrComplex
G_alpha	FamilyOrComplex
Gamma_secretase	FamilyOrComplex
GAP	FamilyOrComplex
GARP	FamilyOrComplex
GAS6_receptor	FamilyOrComplex
GATA	FamilyOrComplex
G_beta	FamilyOrComplex
GCNT	FamilyOrComplex
GEF	FamilyOrComplex
G_gamma	FamilyOrComplex
