CASP12,19004
CASP14,1502
CASP2,1503
CASP3,1504
CASP4,1505
CASP5,1506
CASP6,1507
CASP7,1508
CASP8,1509
CASP9,1511
CAV1,1527
CAV2,1528
CAV3,1529
CBX2,1552
CBX4,1554
CBX8,15962
CCL11,10610
CCL24,10623
CCL26,10625
CCNA1,1577
CCNA2,1578
CCNB1,1579
CCNB2,1580
CCNB3,18709
CCNC,1581
CCND1,1582
CCND2,1583
CCND3,1585
CCNE1,1589
CCNE2,1590
CCNF,1591
CCNG1,1592
CCNG2,1593
CCNH,1594
CCNI,1595
CCNI2,33869
CCNJ,23434
CCNJL,25876
CCNK,1596
CCNL1,20569
CCNL2,20570
CCNO,18576
CCNT1,1599
CCNT2,1600
CCNY,23354
CCNYL1,26868
CCNYL3,33206
CCR1,1602
CCR10,4474
CCR2,1603
CCR3,1604
CCR4,1605
CCR5,1606
CCR6,1607
CCR7,1608
CCR8,1609
CCR9,1610
CCRL2,1612
CCT2,1615
CCT3,1616
CCT4,1617
CCT5,1618
CCT6A,1620
CCT6B,1621
CCT7,1622
CCT8,1623
CD247,1677
CD3D,1673
CD3E,1674
CD3G,1675
CD8A,1706
CD8B,1707
CDC16,1720
CDC23,1724
CDC25A,1725
CDC25B,1726
CDC25C,1727
CDC26,17839
CDC27,1728
CDC34,1734
CDH1,1748
CDH10,1749
CDH11,1750
CDH12,1751
CDH13,1753
CDH15,1754
CDH16,1755
CDH17,1756
CDH18,1757
CDH19,1758
CDH2,1759
CDH20,1760
CDH22,13251
CDH24,14265
CDH3,1762
CDH4,1763
CDH5,1764
CDH6,1765
CDH7,1766
CDH8,1767
CDH9,1768
CDK1,1722
CDK10,1770
CDK11A,1730
CDK11B,1729
CDK12,24224
CDK13,1733
CDK14,8883
CDK15,14434
CDK16,8749
CDK17,8750
CDK18,8751
CDK19,19338
CDK2,1771
CDK20,21420
CDK3,1772
CDK4,1773
CDK5,1774
CDK6,1777
CDK7,1778
CDK8,1779
CDK9,1780
CDKL1,1781
CDKL2,1782
CDKL3,15483
CDKL4,19287
CDKL5,11411
CDKN1A,1784
CDKN1B,1785
CDKN1C,1786
CDKN2A,1787
CDKN2B,1788
CDKN2C,1789
CDKN2D,1790
CDKN3,1791
CEBPA,1833
CEBPB,1834
CEBPD,1835
CEBPE,1836
CEBPG,1837
CELA1,3308
CELA2A,24609
